,TIME,MODEL 1,MODEL 2,MODEL 3,MODEL 4
0,0.0,-6.7809288299052495e-06,-8.835400177386736e-05,-0.00010205114881111262,-0.00012342667822374907
1,0.02040816326530612,0.2066353492277361,0.03692348277815205,0.04380479515329525,0.02584022416836013
2,0.04081632653061224,0.3504587882859769,0.09593628224351626,0.09878786859082517,0.05952798169708561
3,0.061224489795918366,0.45767624010475727,0.17259703659031245,0.16272147331540154,0.10006006308520739
4,0.08163265306122448,0.5516142877438764,0.2625527380145344,0.23347991347864724,0.14655668550998016
5,0.1020408163265306,0.648304418581644,0.3614503787121754,0.30893749323218545,0.19813806614865864
6,0.12244897959183673,0.7573537886992326,0.4649369508792295,0.3869685167276388,0.25392442217849753
7,0.14285714285714285,0.8655062794942385,0.5686652915295939,0.4654472881166306,0.31303597077675144
8,0.16326530612244897,0.9481029391936048,0.6685391294430301,0.5424971702070893,0.3745929291206753
9,0.18367346938775508,0.9911466599330729,0.7605182953823695,0.6172377638857323,0.4377155143875236
10,0.2040816326530612,1.0,0.8407555941580283,0.6890434281139568,0.50152375317116
11,0.22448979591836732,0.9861055826102579,0.9065592178223646,0.7572400960664661,0.5650972635976906
12,0.24489795918367346,0.9602950459002523,0.9560574553367385,0.8207461667995208,0.6274207481301253
13,0.26530612244897955,0.9308124366776579,0.987536385446042,0.878056361521195,0.6874577692597121
14,0.2857142857142857,0.9036420199866921,1.0,0.9267097978992992,0.744233045981775
15,0.3061224489795918,0.878389144026381,0.9936255857143687,0.9642292610364347,0.7968880140417157
16,0.32653061224489793,0.8470477280661731,0.9694827112860923,0.9888553917850406,0.8447838646218677
17,0.3469387755102041,0.8017845104945293,0.92998078949401,1.0,0.8873463842306234
18,0.36734693877551017,0.7451669042116036,0.8787694214708798,0.9988088580283302,0.9239853512999023
19,0.3877551020408163,0.6862015895509076,0.820078619856783,0.9867658248308705,0.9540992979203342
20,0.4081632653061224,0.6315171457453004,0.7576527761369204,0.9653871668194266,0.9770899277175811
21,0.42857142857142855,0.5816683547777426,0.6939768871585437,0.9359551711933085,0.9924895244335986
22,0.44897959183673464,0.5360445506553977,0.6313359585150713,0.8996537196375868,1.0
23,0.4693877551020408,0.49464152814202084,0.5715665221299678,0.8576736881345894,0.999334602885827
24,0.4897959183673469,0.45724095387125324,0.5157155243759186,0.8112059526666424,0.9902065815601193
25,0.5102040816326531,0.42359969224002214,0.46489912635403147,0.7614559028721652,0.9723477793274937
26,0.5306122448979591,0.3936586509462438,0.4196450587024326,0.7099559678918428,0.9459188862999898
27,0.5510204081632653,0.3672769722897373,0.3797508711795426,0.6585091669380014,0.9115666166526587
28,0.5714285714285714,0.34400129171372007,0.3447384977852904,0.6088529622041585,0.8701787652683628
29,0.5918367346938775,0.32339010111377886,0.314124143370562,0.5624786841023408,0.8229408013464812
30,0.6122448979591836,0.3049974152525653,0.2875191759874086,0.5206679039165517,0.7710918346721218
31,0.6326530612244897,0.28836225443126046,0.26453572806120396,0.4832838753554939,0.7159408767356492
32,0.6530612244897959,0.27302363895104587,0.24478593201732174,0.4490240353185476,0.658853192838697
33,0.673469387755102,0.2585218818909914,0.22788192028113566,0.41642469097853924,0.6011954953262756
34,0.6938775510204082,0.2444748630034949,0.2134358252780194,0.38394664179395027,0.5443344965433943
35,0.7142857142857142,0.2306206903846117,0.2010597794333467,0.35017639419339547,0.48958299854320714
36,0.7346938775510203,0.21670781435350717,0.19036591517249124,0.3154991223261469,0.43769857578765947
37,0.7551020408163265,0.20248468522934723,0.18096616788689612,0.2813632157156418,0.38917487184130006
38,0.7755102040816326,0.18769976638421654,0.1724486318623912,0.24920374619120125,0.3445853462043534
39,0.7959183673469387,0.17216996073247673,0.16435509841109538,0.22035122323251227,0.30439932322898233
40,0.8163265306122448,0.1559605797255438,0.15621945597264134,0.19585223287663686,0.2690386250004245
41,0.836734693877551,0.13919590206769195,0.14755650332483208,0.17530254940277745,0.23902569949794558
42,0.8571428571428571,0.12200022571399577,0.1378724832025362,0.1575822224751209,0.21382188167581828
43,0.8775510204081632,0.10449784861953001,0.1266735979819292,0.1413689861419594,0.19172967089783546
44,0.8979591836734693,0.0868130687393694,0.11346605003918668,0.12531059014363788,0.17058033880194295
45,0.9183673469387754,0.06907018402858861,0.09775604175048408,0.10805478422050115,0.14811709986389113
46,0.9387755102040816,0.05139349244226231,0.07904977549199696,0.08824931811289415,0.12208316855943019
47,0.9591836734693877,0.03390729193546524,0.056853453639900846,0.06454194156116194,0.09022175936431033
48,0.9795918367346939,0.016735880463272134,0.03067327857037129,0.03558040430564935,0.05027608675428185
49,1.0,3.5559807576661168e-06,1.5452659583799756e-05,1.2456086701390757e-05,-1.0634794905066214e-05
