,TIME,MODEL 1,MODEL 2,MODEL 3,MODEL 4
0,0.0,3.5256660707344036e-05,-2.4147962812010425e-05,-0.0001154121379533471,-0.00015443580158139064
1,0.02040816326530612,0.1042363045440281,0.07922671299382548,0.061355027201116456,0.03875094786475569
2,0.04081632653061224,0.22229559537447777,0.166946610834044,0.12652372099703785,0.08192158392213895
3,0.061224489795918366,0.349115229447549,0.26066009757728764,0.19497625976465832,0.12880906362391453
4,0.08163265306122448,0.47959730705873466,0.3578917252430005,0.26629823401882535,0.17886497822342834
5,0.1020408163265306,0.6086439285035272,0.4561660458506267,0.3400752342743866,0.23154091897402637
6,0.12244897959183673,0.7308455621467064,0.5530076114196105,0.4158928510461892,0.286288477129055
7,0.14285714285714285,0.8386941908418113,0.6459497767567898,0.49331684050066726,0.3425592439418599
8,0.16326530612244897,0.9236462590183617,0.7325528969110238,0.5713705198341947,0.3998048106657873
9,0.18367346938775508,0.9786898835401129,0.8103916522113629,0.6483447314550034,0.45747676855418296
10,0.2040816326530612,1.0,0.8772071961145073,0.7223872051562663,0.5150267088603936
11,0.22448979591836732,0.9925014324656498,0.9310490556571308,0.7915226098844018,0.5719062137942083
12,0.24489795918367346,0.966867814401766,0.9702509969009034,0.853506099706592,0.6275578581836062
13,0.26530612244897955,0.9338911458385537,0.9935173745597347,0.9060831552048739,0.6814023354156261
14,0.2857142857142857,0.8953235787061906,1.0,0.9473611816479496,0.7328882375592778
15,0.3061224489795918,0.8399137734329122,0.9899105547618261,0.9765362225257429,0.7814672794395221
16,0.32653061224489793,0.7702810475345598,0.9645428450489948,0.9939013146274605,0.8266230785901706
17,0.3469387755102041,0.698483243605097,0.9263430848643851,1.0,0.8678460055323106
18,0.36734693877551017,0.6391584629760426,0.8783550119069983,0.9956611663406846,0.9045746526725288
19,0.3877551020408163,0.5909865427041393,0.8239264832138803,0.9818962732972248,0.9362142071822498
20,0.4081632653061224,0.5435338689266281,0.7663963729056399,0.9597212930177768,0.9621692994789789
21,0.42857142857142855,0.49863694611682385,0.7084653849456122,0.9302093296957726,0.9818445599802214
22,0.44897959183673464,0.4597315110839608,0.6517014501530479,0.8945077040722099,0.9946447747322358
23,0.4693877551020408,0.429002050544395,0.5972279209260354,0.8537686969048768,1.0
24,0.4897959183673469,0.4045917467719234,0.5455884694473658,0.8091445889515615,0.9973932836387898
25,0.5102040816326531,0.38328566770717304,0.49725420487142075,0.7617811162964859,0.9863312325900435
26,0.5306122448979591,0.36227306206286813,0.4526906529136966,0.7126733042127879,0.9667099774120447
27,0.5510204081632653,0.34067144625650225,0.41216923119058435,0.66264496138161,0.9388583556013813
28,0.5714285714285714,0.3191929254672613,0.3756467638675112,0.6124238037179531,0.9033787460628012
29,0.5918367346938775,0.2984364164467961,0.3428908236999562,0.5625639540483324,0.8612087000690043
30,0.6122448979591836,0.2789609764939352,0.3136157716349639,0.5134985484444232,0.8135171490563509
31,0.6326530612244897,0.26128181573176845,0.2875234798462135,0.4656061153887908,0.7615449589056389
32,0.6530612244897959,0.24588039064067613,0.2643158205073841,0.4192329298536048,0.7065527550640794
33,0.673469387755102,0.23323129913818746,0.24369466579215535,0.37472270338871444,0.6497602730720015
34,0.6938775510204082,0.22344972102511795,0.2253618878742062,0.3323151225422932,0.5918297019711728
35,0.7142857142857142,0.21609373802137682,0.20901935892721604,0.29208863510991845,0.5325984062835079
36,0.7346938775510203,0.21067350943131138,0.19436895112486421,0.25410781888694345,0.47173203444671535
37,0.7551020408163265,0.20669919455926888,0.18111253664082985,0.21843719941202377,0.4095405455576356
38,0.7755102040816326,0.20368094543581522,0.16895198764879227,0.18513497916331778,0.348576159981449
39,0.7959183673469387,0.20109626845019177,0.1575770843651417,0.15424708029487813,0.2917265126721431
40,0.8163265306122448,0.19828408373853526,0.14660994400307778,0.12585036893158677,0.241619222366513
41,0.836734693877551,0.1943328083758409,0.1356491611401363,0.10026043631627593,0.19908918682470358
42,0.8571428571428571,0.18822852213890884,0.12429330673674896,0.07776518584554097,0.16393798986630562
43,0.8775510204081632,0.1789568220814347,0.11214095175334748,0.058320655952591144,0.13549652233552775
44,0.8979591836734693,0.16550330525711382,0.09879066715036355,0.04182605260020182,0.11287339184463592
45,0.9183673469387754,0.14685356871964164,0.0838410238882287,0.028178805736975034,0.09513679354769448
46,0.9387755102040816,0.1219932095227137,0.0668905929273747,0.017276345311513085,0.08132530023426242
47,0.9591836734693877,0.08990782472002545,0.04753794522823321,0.00901610127241817,0.06742128980591876
48,0.9795918367346939,0.04958301136527235,0.025381651751235898,0.0032955035682924907,0.04373630875919463
49,1.0,4.366512149836698e-06,2.0283456814423835e-05,1.1982147738236355e-05,-3.414902120672224e-05
