group,dia,hora inici,hora final,resultat,metode
71,2014-10-16,2014-10-16 10:50:00,2014-10-16 11:02:00,FALSO,1.0
72,2014-10-16,2014-10-16 11:09:00,2014-10-16 11:18:00,FALSO,1.0
73,2015-03-09,2015-03-09 14:21:00,2015-03-09 14:35:00,VERDADERO,1.0
74,2015-03-09,2015-03-09 16:48:00,2015-03-09 17:16:00,FALSO,1.0
75,2015-03-11,2015-03-11 06:57:00,2015-03-11 08:17:00,FALSO,1.5
76,2015-03-11,2015-03-11 09:41:00,2015-03-11 09:54:00,FALSO,1.0
77,2015-03-11,2015-03-11 11:04:00,2015-03-11 11:20:00,FALSO,1.0
78,2015-03-11,2015-03-11 13:42:00,2015-03-11 13:55:00,FALSO,1.0
79,2015-03-11,2015-03-11 16:20:00,2015-03-11 16:20:00,VERDADERO,2.0
80,2015-04-08,2015-04-08 07:53:00,2015-04-08 08:06:00,FALSO,1.0
81,2015-04-08,2015-04-08 12:03:00,2015-04-08 12:10:00,FALSO,1.0
82,2015-04-08,2015-04-08 14:32:00,2015-04-08 14:43:00,VERDADERO,1.0
83,2015-06-21,2015-06-21 09:36:00,2015-06-21 09:40:00,VERDADERO,1.0
84,2015-06-21,2015-06-21 13:21:00,2015-06-21 13:52:00,FALSO,1.0
85,2015-06-21,2015-06-21 16:37:00,2015-06-21 16:54:00,FALSO,1.5
86,2015-07-03,2015-07-03 14:41:00,2015-07-03 14:58:00,FALSO,1.0
87,2015-07-03,2015-07-03 15:57:00,2015-07-03 16:06:00,FALSO,1.0
88,2015-07-03,2015-07-03 16:14:00,2015-07-03 16:22:00,FALSO,1.0
89,2015-07-03,2015-07-03 18:31:00,2015-07-03 18:44:00,FALSO,1.0
90,2015-09-28,2015-09-28 08:48:00,2015-09-28 09:02:00,FALSO,1.0
91,2015-09-28,2015-09-28 13:22:00,2015-09-28 13:35:00,FALSO,1.0
92,2015-09-28,2015-09-28 14:42:00,2015-09-28 14:54:00,VERDADERO,1.0
93,2017-04-03,2017-04-03 05:49:00,2017-04-03 06:06:00,FALSO,1.0
94,2017-04-03,2017-04-03 09:09:00,2017-04-03 09:23:00,FALSO,1.0
95,2017-04-03,2017-04-03 10:05:00,2017-04-03 10:12:00,FALSO,1.0
96,2017-04-03,2017-04-03 14:02:00,2017-04-03 14:27:00,VERDADERO,1.0
97,2017-04-03,2017-04-03 14:42:00,2017-04-03 14:51:00,FALSO,1.0
98,2017-04-03,2017-04-03 16:16:00,2017-04-03 16:31:00,FALSO,1.0
99,2017-09-06,2017-09-06 08:02:00,2017-09-06 08:12:00,FALSO,1.0
100,2017-09-06,2017-09-06 08:58:00,2017-09-06 09:07:00,VERDADERO,1.5
101,2017-09-06,2017-09-06 10:17:00,2017-09-06 10:26:00,FALSO,1.0
102,2017-09-06,2017-09-06 10:34:00,2017-09-06 10:34:00,FALSO,2.0
103,2017-09-06,2017-09-06 11:53:00,2017-09-06 12:19:00,VERDADERO,2.0
104,2017-09-06,2017-09-06 15:20:00,2017-09-06 15:35:00,FALSO,1.0
105,2017-09-06,2017-09-06 15:45:00,2017-09-06 16:07:00,FALSO,1.0
106,2017-09-06,2017-09-06 16:25:00,2017-09-06 16:39:00,FALSO,1.0
107,2017-09-06,2017-09-06 17:02:00,2017-09-06 17:08:00,FALSO,1.0
108,2017-09-10,2017-09-10 14:12:00,2017-09-10 14:42:00,FALSO,1.0
109,2017-09-10,2017-09-10 15:54:00,2017-09-10 16:04:00,VERDADERO,2.0
