;dia;hora inici;hora final;resultat
0;2001-04-15;08:58:30.000;09:06:30.000;FALSO
1;2001-04-15;13:40:30.000;13:46:30.000;VERDADERO
2;2001-04-15;14:18:30.000;14:28:30.000;FALSO
3;2001-04-26;12:25:30.000;12:32:30.000;FALSO
4;2001-04-26;13:00:30.000;13:07:30.000;VERDADERO
5;2001-12-13;14:20:30.000;14:24:30.000;VERDADERO
6;2004-07-16;10:29:30.000;10:37:30.000;FALSO
7;2004-07-16;13:48:30.000;13:56:30.000;VERDADERO
8;2004-07-20;12:38:30.000;12:50:30.000;FALSO
9;2006-04-27;15:37:30.000;15:49:30.000;VERDADERO
10;2011-08-09;07:58:30.000;08:01:30.000;VERDADERO
11;2011-09-08;10:41:30.000;10:54:30.000;FALSO
12;2011-09-08;15:31:30.000;15:38:30.000;VERDADERO
13;2011-09-24;05:55:30.000;06:16:30.000;FALSO
14;2011-09-24;08:49:30.000;08:54:30.000;FALSO
15;2011-09-24;09:19:30.000;09:45:30.000;VERDADERO
16;2011-09-24;13:57:30.000;14:09:30.000;FALSO
17;2011-09-24;15:15:30.000;15:29:30.000;FALSO
18;2013-05-13;05:24:00.000;05:41:00.000;FALSO
19;2013-05-13;12:04:00.000;12:13:00.000;FALSO
20;2013-05-13;15:52:00.000;15:58:00.000;VERDADERO
21;2013-05-13;18:28:00.000;18:40:00.000;FALSO
22;2013-10-25;07:52:00.000;07:57:00.000;VERDADERO
23;2013-10-25;14:48:00.000;14:55:00.000;VERDADERO
24;2013-10-28;09:08:00.000;09:17:00.000;FALSO
25;2013-10-28;09:57:00.000;10:05:00.000;FALSO
26;2013-10-28;13:56:00.000;14:01:00.000;VERDADERO
27;2013-10-28;15:04:00.000;15:08:00.000;FALSO
28;2013-11-06;08:22:00.000;08:46:00.000;FALSO
29;2013-11-06;09:07:00.000;09:20:00.000;FALSO
30;2013-11-06;09:34:00.000;09:42:00.000;FALSO
31;2013-11-06;10:15:00.000;10:30:00.000;FALSO
32;2013-11-06;10:41:00.000;11:00:00.000;FALSO
33;2013-11-06;11:22:00.000;11:37:00.000;FALSO
34;2013-11-06;13:36:00.000;13:42:00.000;VERDADERO
35;2013-11-06;13:47:00.000;13:52:00.000;VERDADERO
36;2013-11-06;14:38:00.000;14:41:00.000;FALSO
37;2013-11-19;10:10:00.000;10:21:00.000;VERDADERO
38;2013-11-19;12:47:00.000;12:58:00.000;FALSO
39;2013-11-19;15:01:00.000;15:07:00.000;FALSO
40;2013-11-19;15:47:00.000;16:03:00.000;FALSO
41;2014-10-16;08:59:00.000;09:14:00.000;FALSO
42;2014-10-16;10:50:00.000;11:02:00.000;FALSO
43;2014-10-16;11:09:00.000;11:18:00.000;FALSO
44;2015-03-09;14:21:00.000;14:35:00.000;VERDADERO
45;2015-03-11;06:57:00.000;07:04:00.000;FALSO
46;2015-03-11;09:41:00.000;09:54:00.000;FALSO
47;2015-03-11;11:04:00.000;11:20:00.000;FALSO
48;2015-03-11;13:42:00.000;13:54:00.000;FALSO
49;2015-04-08;07:54:00.000;08:04:00.000;FALSO
50;2015-04-08;12:03:00.000;12:09:00.000;FALSO
51;2015-04-08;14:32:00.000;14:43:00.000;VERDADERO
52;2015-06-21;09:36:00.000;09:40:00.000;VERDADERO
53;2015-06-21;13:21:00.000;13:52:00.000;FALSO
54;2015-07-03;14:41:00.000;14:57:00.000;FALSO
55;2015-07-03;16:14:00.000;16:22:00.000;FALSO
56;2015-07-03;18:31:00.000;18:44:00.000;FALSO
57;2015-09-28;08:48:00.000;09:02:00.000;FALSO
58;2015-09-28;13:22:00.000;13:35:00.000;FALSO
59;2015-09-28;14:43:00.000;14:54:00.000;VERDADERO
60;2017-04-03;05:50:00.000;06:06:00.000;FALSO
61;2017-04-03;09:10:00.000;09:23:00.000;FALSO
62;2017-04-03;10:05:00.000;10:12:00.000;FALSO
63;2017-04-03;14:14:00.000;14:27:00.000;VERDADERO
64;2017-04-03;14:42:00.000;14:51:00.000;FALSO
65;2017-04-03;16:18:00.000;16:31:00.000;FALSO
66;2017-09-06;08:58:00.000;09:07:00.000;VERDADERO
67;2017-09-06;10:17:00.000;10:26:00.000;FALSO
68;2017-09-06;15:20:00.000;15:35:00.000;FALSO
69;2017-09-06;15:45:00.000;15:59:00.000;FALSO
70;2017-09-10;14:12:00.000;14:42:00.000;FALSO
