;dia;hora inici;hora final;resultat
0;2001-04-15;08:58:30.000;09:05:30.000;FALSO
1;2001-04-15;13:40:30.000;13:46:30.000;VERDADERO
2;2001-04-26;12:27:30.000;12:32:30.000;FALSO
3;2001-04-26;13:00:30.000;13:07:30.000;VERDADERO
4;2001-12-13;14:20:30.000;14:24:30.000;VERDADERO
5;2004-07-16;13:48:30.000;13:56:30.000;VERDADERO
6;2004-07-20;12:38:30.000;12:47:30.000;FALSO
7;2006-04-27;15:37:30.000;15:49:30.000;VERDADERO
8;2011-09-08;10:41:30.000;10:54:30.000;FALSO
9;2011-09-08;15:31:30.000;15:38:30.000;VERDADERO
10;2011-09-24;08:50:30.000;08:53:30.000;FALSO
11;2011-09-24;09:19:30.000;09:38:30.000;VERDADERO
12;2013-05-13;05:24:00.000;05:41:00.000;FALSO
13;2013-05-13;12:04:00.000;12:13:00.000;FALSO
14;2013-05-13;15:52:00.000;15:58:00.000;VERDADERO
15;2013-05-13;18:30:00.000;18:40:00.000;FALSO
16;2013-10-25;14:49:00.000;14:55:00.000;VERDADERO
17;2013-10-28;09:59:00.000;10:05:00.000;FALSO
18;2013-10-28;13:56:00.000;14:01:00.000;VERDADERO
19;2013-10-28;15:04:00.000;15:08:00.000;FALSO
20;2013-11-06;08:23:00.000;08:46:00.000;FALSO
21;2013-11-06;09:07:00.000;09:20:00.000;FALSO
22;2013-11-06;09:34:00.000;09:42:00.000;FALSO
23;2013-11-06;10:15:00.000;10:30:00.000;FALSO
24;2013-11-06;11:22:00.000;11:37:00.000;FALSO
25;2013-11-06;13:36:00.000;13:42:00.000;VERDADERO
26;2013-11-06;13:47:00.000;13:52:00.000;VERDADERO
27;2013-11-06;14:38:00.000;14:41:00.000;FALSO
28;2013-11-19;10:10:00.000;10:21:00.000;VERDADERO
29;2013-11-19;15:01:00.000;15:07:00.000;FALSO
30;2013-11-19;15:47:00.000;16:02:00.000;FALSO
31;2014-10-16;10:55:00.000;11:02:00.000;FALSO
32;2014-10-16;11:09:00.000;11:18:00.000;FALSO
33;2015-03-09;14:21:00.000;14:35:00.000;VERDADERO
34;2015-03-11;06:57:00.000;07:04:00.000;FALSO
35;2015-03-11;09:41:00.000;09:54:00.000;FALSO
36;2015-03-11;11:04:00.000;11:16:00.000;FALSO
37;2015-03-11;13:42:00.000;13:54:00.000;FALSO
38;2015-04-08;07:54:00.000;08:04:00.000;FALSO
39;2015-04-08;12:03:00.000;12:09:00.000;FALSO
40;2015-04-08;14:34:00.000;14:43:00.000;VERDADERO
41;2015-06-21;09:36:00.000;09:40:00.000;VERDADERO
42;2015-07-03;14:41:00.000;14:57:00.000;FALSO
43;2015-07-03;16:14:00.000;16:22:00.000;FALSO
44;2015-07-03;18:31:00.000;18:44:00.000;FALSO
45;2015-09-28;08:48:00.000;09:02:00.000;FALSO
46;2015-09-28;13:22:00.000;13:35:00.000;FALSO
47;2015-09-28;14:43:00.000;14:54:00.000;VERDADERO
48;2017-04-03;05:50:00.000;06:06:00.000;FALSO
49;2017-04-03;10:05:00.000;10:12:00.000;FALSO
50;2017-04-03;14:14:00.000;14:27:00.000;VERDADERO
51;2017-04-03;14:42:00.000;14:51:00.000;FALSO
52;2017-04-03;16:18:00.000;16:31:00.000;FALSO
53;2017-09-06;08:58:00.000;09:07:00.000;VERDADERO
54;2017-09-06;10:17:00.000;10:26:00.000;FALSO
55;2017-09-06;15:20:00.000;15:32:00.000;FALSO
56;2017-09-06;15:46:00.000;15:59:00.000;FALSO
57;2017-09-10;14:26:00.000;14:42:00.000;FALSO
