;dia;hora inici;hora final;resultat
0;2001-04-15;05:47:30.000;06:05:30.000;FALSO
1;2001-04-15;06:18:30.000;06:54:30.000;FALSO
2;2001-04-15;07:00:30.000;07:36:30.000;FALSO
3;2001-04-15;07:40:30.000;07:52:30.000;FALSO
4;2001-04-15;07:56:30.000;08:22:30.000;FALSO
5;2001-04-15;08:26:30.000;09:20:30.000;FALSO
6;2001-04-15;09:41:30.000;10:07:30.000;FALSO
7;2001-04-15;10:45:30.000;10:55:30.000;FALSO
8;2001-04-15;11:21:30.000;11:30:30.000;FALSO
9;2001-04-15;11:45:30.000;12:09:30.000;FALSO
10;2001-04-15;12:47:30.000;13:14:30.000;FALSO
11;2001-04-15;13:38:30.000;14:40:30.000;VERDADERO
12;2001-04-15;15:15:30.000;16:06:30.000;FALSO
13;2001-04-15;16:46:30.000;17:15:30.000;FALSO
14;2001-04-15;17:53:30.000;18:18:30.000;FALSO
15;2001-04-26;05:42:30.000;06:13:30.000;FALSO
16;2001-04-26;07:13:30.000;07:29:30.000;FALSO
17;2001-04-26;07:34:30.000;08:01:30.000;FALSO
18;2001-04-26;08:24:30.000;09:15:30.000;FALSO
19;2001-04-26;10:17:30.000;10:34:30.000;FALSO
20;2001-04-26;12:04:30.000;12:45:30.000;FALSO
21;2001-04-26;12:50:30.000;13:12:30.000;VERDADERO
22;2001-04-26;16:48:30.000;17:06:30.000;FALSO
23;2001-04-26;17:39:30.000;18:20:30.000;FALSO
24;2001-12-13;14:12:30.000;14:42:30.000;VERDADERO
25;2004-07-16;06:30:30.000;06:59:30.000;FALSO
26;2004-07-16;10:14:30.000;11:06:30.000;FALSO
27;2004-07-16;11:24:30.000;11:40:30.000;FALSO
28;2004-07-16;12:05:30.000;12:23:30.000;FALSO
29;2004-07-16;12:57:30.000;13:29:30.000;FALSO
30;2004-07-16;13:41:30.000;14:02:30.000;VERDADERO
31;2004-07-16;14:16:30.000;14:46:30.000;FALSO
32;2004-07-16;15:40:30.000;15:52:30.000;FALSO
33;2004-07-16;16:04:30.000;16:11:30.000;FALSO
34;2004-07-16;17:39:30.000;18:07:30.000;FALSO
35;2004-07-16;18:13:30.000;18:23:30.000;FALSO
36;2004-07-16;18:49:30.000;19:09:30.000;FALSO
37;2004-07-20;04:43:30.000;05:20:30.000;FALSO
38;2004-07-20;05:38:30.000;05:55:30.000;FALSO
39;2004-07-20;05:59:30.000;06:22:30.000;FALSO
40;2004-07-20;06:28:30.000;06:43:30.000;FALSO
41;2004-07-20;06:47:30.000;07:01:30.000;FALSO
42;2004-07-20;08:08:30.000;08:23:30.000;FALSO
43;2004-07-20;08:30:30.000;09:20:30.000;FALSO
44;2004-07-20;09:36:30.000;10:36:30.000;FALSO
45;2004-07-20;11:13:30.000;11:31:30.000;FALSO
46;2004-07-20;12:16:30.000;12:31:30.000;VERDADERO
47;2004-07-20;12:35:30.000;13:27:30.000;FALSO
48;2004-07-20;13:46:30.000;14:07:30.000;FALSO
49;2004-07-20;14:17:30.000;14:37:30.000;FALSO
50;2004-07-20;15:52:30.000;16:16:30.000;FALSO
51;2004-07-20;17:40:30.000;18:13:30.000;FALSO
52;2004-07-20;18:17:30.000;18:47:30.000;FALSO
53;2004-07-20;18:51:30.000;19:04:30.000;FALSO
54;2004-08-14;06:03:30.000;06:17:30.000;FALSO
55;2004-08-14;07:52:30.000;08:05:30.000;FALSO
56;2004-08-14;08:16:30.000;08:29:30.000;FALSO
57;2004-08-14;08:33:30.000;08:47:30.000;FALSO
58;2004-08-14;08:53:30.000;09:04:30.000;FALSO
59;2004-08-14;09:44:30.000;10:19:30.000;FALSO
60;2004-08-14;10:23:30.000;10:55:30.000;FALSO
61;2004-08-14;11:12:30.000;12:07:30.000;FALSO
62;2004-08-14;12:25:30.000;12:46:30.000;FALSO
63;2004-08-14;12:50:30.000;13:00:30.000;FALSO
64;2004-08-14;13:17:30.000;13:44:30.000;VERDADERO
65;2004-08-14;13:55:30.000;14:15:30.000;FALSO
66;2004-08-14;15:43:30.000;15:57:30.000;FALSO
67;2004-08-14;16:36:30.000;17:08:30.000;FALSO
68;2004-08-14;17:42:30.000;18:02:30.000;FALSO
69;2004-08-15;05:48:30.000;06:20:30.000;FALSO
70;2004-08-15;11:28:30.000;11:45:30.000;FALSO
71;2004-08-15;11:57:30.000;12:06:30.000;FALSO
72;2004-08-15;12:31:30.000;13:04:30.000;VERDADERO
73;2004-08-15;13:29:30.000;13:49:30.000;FALSO
74;2004-08-15;15:26:30.000;15:34:30.000;FALSO
75;2004-08-15;17:15:30.000;17:21:30.000;FALSO
76;2005-05-27;04:59:30.000;05:17:30.000;FALSO
77;2005-05-27;05:30:30.000;05:50:30.000;FALSO
78;2005-05-27;08:04:30.000;08:33:30.000;FALSO
79;2005-05-27;09:36:30.000;09:54:30.000;FALSO
80;2005-05-27;10:29:30.000;10:46:30.000;FALSO
81;2005-05-27;11:24:30.000;11:56:30.000;FALSO
82;2005-05-27;12:21:30.000;12:33:30.000;VERDADERO
83;2005-05-27;13:58:30.000;14:19:30.000;FALSO
84;2005-05-27;14:24:30.000;14:41:30.000;FALSO
85;2005-05-27;15:23:30.000;15:48:30.000;FALSO
86;2005-09-09;05:39:30.000;05:54:30.000;FALSO
87;2005-09-09;07:07:30.000;07:40:30.000;FALSO
88;2005-09-09;07:45:30.000;08:00:30.000;FALSO
89;2005-09-09;08:12:30.000;08:35:30.000;FALSO
90;2005-09-09;09:07:30.000;09:24:30.000;FALSO
91;2005-09-09;09:48:30.000;10:05:30.000;VERDADERO
92;2005-09-09;11:46:30.000;12:19:30.000;FALSO
93;2005-09-09;12:42:30.000;13:01:30.000;FALSO
94;2005-09-09;13:10:30.000;13:33:30.000;FALSO
95;2005-09-09;13:55:30.000;14:10:30.000;FALSO
96;2005-09-09;14:22:30.000;14:46:30.000;FALSO
97;2005-09-09;14:52:30.000;15:10:30.000;FALSO
98;2005-09-09;15:22:30.000;16:05:30.000;FALSO
99;2005-09-09;16:52:30.000;17:08:30.000;FALSO
100;2005-09-09;17:34:30.000;17:58:30.000;FALSO
101;2006-04-27;06:42:30.000;07:13:30.000;FALSO
102;2006-04-27;07:38:30.000;08:22:30.000;FALSO
103;2006-04-27;08:54:30.000;09:30:30.000;FALSO
104;2006-04-27;11:25:30.000;11:55:30.000;FALSO
105;2006-04-27;12:39:30.000;13:00:30.000;FALSO
106;2006-04-27;15:24:30.000;16:11:30.000;VERDADERO
107;2006-04-27;16:42:30.000;16:54:30.000;FALSO
108;2006-04-27;17:57:30.000;18:30:30.000;FALSO
109;2006-12-05;07:32:30.000;07:53:30.000;FALSO
110;2006-12-05;10:25:30.000;10:37:30.000;VERDADERO
111;2006-12-05;11:36:30.000;12:00:30.000;FALSO
112;2006-12-05;12:41:30.000;13:12:30.000;FALSO
113;2006-12-05;13:41:30.000;14:02:30.000;FALSO
114;2006-12-05;14:56:30.000;15:02:30.000;FALSO
115;2011-08-09;05:13:30.000;05:41:30.000;FALSO
116;2011-08-09;06:18:30.000;06:39:30.000;FALSO
117;2011-08-09;07:28:30.000;08:24:30.000;VERDADERO
118;2011-08-09;09:17:30.000;10:17:30.000;FALSO
119;2011-08-09;10:31:30.000;11:14:30.000;FALSO
120;2011-08-09;12:11:30.000;12:40:30.000;FALSO
121;2011-08-09;12:51:30.000;13:19:30.000;FALSO
122;2011-08-09;13:53:30.000;14:50:30.000;FALSO
123;2011-08-09;15:04:30.000;15:14:30.000;FALSO
124;2011-08-09;15:23:30.000;15:37:30.000;FALSO
125;2011-08-09;15:44:30.000;15:59:30.000;FALSO
126;2011-08-09;16:19:30.000;16:49:30.000;FALSO
127;2011-08-09;17:39:30.000;18:15:30.000;FALSO
128;2011-09-08;06:16:30.000;06:33:30.000;FALSO
129;2011-09-08;06:57:30.000;07:18:30.000;FALSO
130;2011-09-08;07:55:30.000;08:21:30.000;FALSO
131;2011-09-08;08:56:30.000;09:15:30.000;FALSO
132;2011-09-08;09:22:30.000;10:00:30.000;FALSO
133;2011-09-08;10:07:30.000;10:24:30.000;FALSO
134;2011-09-08;10:36:30.000;11:00:30.000;FALSO
135;2011-09-08;11:07:30.000;11:41:30.000;FALSO
136;2011-09-08;11:46:30.000;12:12:30.000;FALSO
137;2011-09-08;12:21:30.000;12:36:30.000;FALSO
138;2011-09-08;12:40:30.000;12:52:30.000;FALSO
139;2011-09-08;13:16:30.000;13:59:30.000;FALSO
140;2011-09-08;14:07:30.000;14:32:30.000;FALSO
141;2011-09-08;15:30:30.000;16:08:30.000;VERDADERO
142;2011-09-24;05:50:30.000;06:21:30.000;FALSO
143;2011-09-24;06:25:30.000;06:45:30.000;FALSO
144;2011-09-24;07:18:30.000;07:39:30.000;FALSO
145;2011-09-24;08:21:30.000;09:02:30.000;FALSO
146;2011-09-24;09:09:30.000;09:55:30.000;VERDADERO
147;2011-09-24;10:26:30.000;10:43:30.000;FALSO
148;2011-09-24;11:08:30.000;11:40:30.000;FALSO
149;2011-09-24;11:47:30.000;12:38:30.000;FALSO
150;2011-09-24;12:43:30.000;13:03:30.000;FALSO
151;2011-09-24;13:15:30.000;13:39:30.000;FALSO
152;2011-09-24;13:57:30.000;14:13:30.000;FALSO
153;2011-09-24;14:17:30.000;14:24:30.000;FALSO
154;2011-09-24;14:52:30.000;15:29:30.000;FALSO
155;2011-09-24;15:59:30.000;16:38:30.000;FALSO
156;2013-05-13;05:20:00.000;06:06:00.000;FALSO
157;2013-05-13;07:21:00.000;07:39:00.000;FALSO
