;dia;hora inici;hora final;resultat
0;2001-04-15;13:40:30.000;13:45:30.000;VERDADERO
1;2001-04-26;13:02:30.000;13:07:30.000;VERDADERO
2;2001-12-13;14:20:30.000;14:24:30.000;VERDADERO
3;2011-09-24;08:50:30.000;08:52:30.000;FALSO
4;2011-09-24;09:29:30.000;09:33:30.000;VERDADERO
5;2013-05-13;15:52:00.000;15:58:00.000;VERDADERO
6;2013-10-25;14:49:00.000;14:55:00.000;VERDADERO
7;2013-10-28;13:57:00.000;14:01:00.000;VERDADERO
8;2013-10-28;15:04:00.000;15:08:00.000;FALSO
9;2013-11-06;08:33:00.000;08:39:00.000;FALSO
10;2013-11-06;11:22:00.000;11:37:00.000;FALSO
11;2013-11-06;13:36:00.000;13:42:00.000;VERDADERO
12;2013-11-19;10:14:00.000;10:21:00.000;VERDADERO
13;2013-11-19;15:01:00.000;15:07:00.000;FALSO
14;2015-03-09;14:22:00.000;14:35:00.000;VERDADERO
15;2015-06-21;09:37:00.000;09:40:00.000;VERDADERO
16;2015-07-03;14:42:00.000;14:57:00.000;FALSO
17;2015-09-28;14:49:00.000;14:54:00.000;VERDADERO
18;2017-04-03;14:15:00.000;14:27:00.000;VERDADERO
