dia;hora inici;hora final;resultat
2001-04-15;06:13;06:19;FALSO
2001-04-15;06:57;07:27;FALSO
2001-04-15;07:37;07:45;FALSO
2001-04-15;08:03;08:12;FALSO
2001-04-15;08:22;08:26;FALSO
2001-04-15;08:46;09:00;FALSO
2001-04-15;09:13;09:23;FALSO
2001-04-15;09:42;09:50;FALSO
2001-04-15;09:58;10:11;FALSO
2001-04-15;10:50;11:14;FALSO
2001-04-15;11:30;11:31;FALSO
2001-04-15;11:43;11:43;FALSO
2001-04-15;12:08;12:15;FALSO
2001-04-15;12:38;13:17;FALSO
2001-04-15;13:39;14:17;VERDADERO
2001-04-15;14:31;14:32;FALSO
2001-04-15;14:39;14:47;FALSO
2001-04-15;15:13;15:32;FALSO
2001-04-15;15:40;15:42;FALSO
2001-04-15;15:53;16:05;FALSO
2001-04-15;16:23;16:38;FALSO
2001-04-15;16:45;16:47;FALSO
2001-04-15;16:55;17:06;FALSO
2001-04-15;17:59;18:07;FALSO
2001-04-15;18:25;18:26;FALSO
2001-04-15;18:33;18:33;FALSO
2001-04-26;05:06;05:16;FALSO
2001-04-26;06:26;06:26;FALSO
2001-04-26;07:07;07:32;FALSO
2001-04-26;07:42;07:44;FALSO
2001-04-26;08:00;08:05;FALSO
2001-04-26;08:18;08:22;FALSO
2001-04-26;08:37;08:40;FALSO
2001-04-26;08:58;09:08;FALSO
2001-04-26;09:25;09:30;FALSO
2001-04-26;09:42;09:54;FALSO
2001-04-26;10:19;10:25;FALSO
2001-04-26;10:40;10:40;FALSO
2001-04-26;10:49;11:05;FALSO
2001-04-26;11:33;11:43;FALSO
2001-04-26;11:54;12:14;FALSO
2001-04-26;12:29;12:40;FALSO
2001-04-26;13:03;13:26;VERDADERO
2001-04-26;14:10;14:12;FALSO
2001-04-26;14:36;14:43;FALSO
2001-04-26;15:06;15:06;FALSO
2001-04-26;15:27;15:34;FALSO
2001-04-26;16:09;16:09;FALSO
2001-04-26;16:30;16:43;FALSO
2001-04-26;16:55;17:04;FALSO
2001-04-26;17:30;17:38;FALSO
2001-04-26;17:46;17:46;FALSO
2001-04-26;17:55;17:58;FALSO
2001-04-26;18:11;18:19;FALSO
2001-04-26;18:43;18:44;FALSO
2001-12-13;10:22;10:29;FALSO
2001-12-13;14:22;14:46;VERDADERO
2001-12-13;16:13;16:17;FALSO
2001-12-13;16:26;16:26;FALSO
2004-07-16;08:35;08:35;FALSO
2004-07-16;08:51;09:05;FALSO
2004-07-16;10:35;10:44;FALSO
2004-07-16;10:52;11:00;FALSO
2004-07-16;12:52;13:12;FALSO
2004-07-16;13:35;13:39;FALSO
2004-07-16;13:49;14:38;VERDADERO
2004-07-16;14:45;14:54;FALSO
2004-07-16;15:16;15:33;FALSO
2004-07-16;16:14;16:15;FALSO
2004-07-16;16:29;16:40;FALSO
2004-07-16;16:55;16:56;FALSO
2004-07-16;17:16;17:47;FALSO
2004-07-16;17:58;18:23;FALSO
2004-07-16;19:00;19:05;FALSO
2004-07-20;04:44;04:52;FALSO
2004-07-20;05:08;05:19;FALSO
2004-07-20;05:31;06:18;FALSO
2004-07-20;06:37;06:45;FALSO
2004-07-20;07:40;07:43;FALSO
2004-07-20;08:11;08:16;FALSO
2004-07-20;09:01;09:20;FALSO
2004-07-20;09:38;09:39;FALSO
2004-07-20;10:05;10:16;FALSO
2004-07-20;10:46;10:58;FALSO
2004-07-20;11:10;11:26;FALSO
2004-07-20;11:49;11:55;FALSO
2004-07-20;12:08;12:09;FALSO
2004-07-20;12:23;13:04;VERDADERO
2004-07-20;13:17;13:28;FALSO
2004-07-20;13:36;13:40;FALSO
2004-07-20;13:59;14:08;FALSO
2004-07-20;14:49;14:49;FALSO
2004-07-20;15:01;15:17;FALSO
2004-07-20;16:02;16:23;FALSO
2004-07-20;17:00;17:04;FALSO
2004-07-20;17:49;18:01;FALSO
2004-07-20;18:17;18:28;FALSO
2004-07-20;18:38;18:55;FALSO
2004-08-14;05:39;06:22;FALSO
2004-08-14;06:41;06:57;FALSO
2004-08-14;07:19;07:27;FALSO
2004-08-14;07:37;07:50;FALSO
2004-08-14;07:57;08:20;FALSO
2004-08-14;08:27;08:59;FALSO
2004-08-14;09:09;09:50;FALSO
2004-08-14;09:57;10:37;FALSO
2004-08-14;10:44;10:48;FALSO
2004-08-14;11:02;11:14;FALSO
2004-08-14;11:22;11:50;FALSO
2004-08-14;11:58;12:09;FALSO
2004-08-14;12:42;12:45;FALSO
2004-08-14;12:58;13:00;FALSO
2004-08-14;13:37;13:52;VERDADERO
2004-08-14;14:08;14:32;FALSO
