dia;hora inici;hora final;resultat
2001-04-15;13:42;14:07;VERDADERO
2001-04-26;13:06;13:11;VERDADERO
2001-12-13;14:24;14:35;VERDADERO
2004-07-16;13:50;14:02;VERDADERO
2004-07-20;12:24;12:31;VERDADERO
2004-08-14;09:42;09:48;FALSO
2004-08-14;10:08;10:09;FALSO
2004-08-14;11:32;11:35;FALSO
2004-08-14;13:41;13:42;VERDADERO
2004-08-15;12:36;12:46;VERDADERO
2005-09-09;09:53;10:05;VERDADERO
2005-09-09;13:28;13:29;FALSO
2005-09-09;13:58;14:24;FALSO
2005-09-09;14:34;15:07;FALSO
2005-09-09;16:32;16:42;FALSO
2006-12-05;10:24;10:55;VERDADERO
2011-08-09;07:59;08:14;VERDADERO
2011-09-24;09:37;09:50;VERDADERO
2013-10-25;14:59;14:59;VERDADERO
2015-06-21;16:42;16:52;FALSO
2017-09-06;09:04;09:06;VERDADERO
2017-09-06;11:53;12:16;VERDADERO
2017-09-10;15:55;16:03;VERDADERO
