dia;hora inici;hora final;resultat
2001-04-15;08:06;08:08;FALSO
2001-04-15;10:54;10:55;FALSO
2001-04-15;12:45;12:47;FALSO
2001-04-15;13:04;13:05;FALSO
2001-04-15;13:41;14:08;VERDADERO
2001-04-15;15:22;15:29;FALSO
2001-04-26;13:05;13:11;VERDADERO
2001-12-13;14:23;14:38;VERDADERO
2004-07-16;13:50;14:04;VERDADERO
2004-07-20;05:36;05:39;FALSO
2004-07-20;05:51;05:54;FALSO
2004-07-20;12:24;12:50;VERDADERO
2004-08-14;05:41;05:44;FALSO
2004-08-14;08:36;08:38;FALSO
2004-08-14;09:42;09:48;FALSO
2004-08-14;10:07;10:10;FALSO
2004-08-14;11:32;11:45;FALSO
2004-08-14;13:38;13:43;VERDADERO
2004-08-15;12:35;12:47;VERDADERO
2005-05-27;12:25;12:26;VERDADERO
2005-09-09;09:53;10:09;VERDADERO
2005-09-09;13:27;13:30;FALSO
2005-09-09;13:57;14:48;FALSO
2005-09-09;14:56;15:16;FALSO
2005-09-09;15:55;15:56;FALSO
2005-09-09;16:29;16:46;FALSO
2005-09-09;16:59;17:04;FALSO
2006-12-05;10:24;10:57;VERDADERO
2011-08-09;07:59;08:15;VERDADERO
2011-08-09;09:42;09:43;FALSO
2011-09-24;09:33;09:53;VERDADERO
2013-10-25;14:56;15:00;VERDADERO
2013-11-06;13:52;13:57;VERDADERO
2013-11-19;10:33;10:34;VERDADERO
2014-10-16;11:17;11:22;FALSO
2015-03-11;06:26;06:26;FALSO
2015-03-11;08:16;08:18;FALSO
2015-03-11;10:46;10:46;FALSO
2015-03-11;11:14;11:16;FALSO
2015-03-11;15:20;15:22;FALSO
2015-03-11;16:18;16:20;VERDADERO
2015-06-21;16:41;16:55;FALSO
2017-04-03;14:37;14:37;VERDADERO
2017-09-06;09:03;09:15;VERDADERO
2017-09-06;10:34;10:36;FALSO
2017-09-06;11:52;12:20;VERDADERO
2017-09-06;15:09;15:09;FALSO
2017-09-10;15:54;16:06;VERDADERO
