dia;hora inici;hora final;resultat
2001-04-15;08:05;08:10;FALSO
2001-04-15;10:52;10:55;FALSO
2001-04-15;12:42;13:07;FALSO
2001-04-15;13:41;14:09;VERDADERO
2001-04-15;15:20;15:29;FALSO
2001-04-26;07:21;07:21;FALSO
2001-04-26;13:05;13:19;VERDADERO
2001-12-13;14:23;14:39;VERDADERO
2004-07-16;10:38;10:41;FALSO
2004-07-16;13:50;14:05;VERDADERO
2004-07-20;05:34;05:39;FALSO
2004-07-20;05:51;05:55;FALSO
2004-07-20;12:24;12:32;VERDADERO
2004-07-20;12:44;12:51;FALSO
2004-07-20;15:08;15:13;FALSO
2004-08-14;05:40;05:45;FALSO
2004-08-14;05:57;05:58;FALSO
2004-08-14;08:07;08:08;FALSO
2004-08-14;08:36;08:38;FALSO
2004-08-14;09:30;09:49;FALSO
2004-08-14;10:06;10:12;FALSO
2004-08-14;11:27;11:47;FALSO
2004-08-14;12:02;12:03;FALSO
2004-08-14;13:38;13:50;VERDADERO
2004-08-15;12:35;12:47;VERDADERO
2005-05-27;12:24;12:27;VERDADERO
2005-09-09;05:39;05:41;FALSO
2005-09-09;09:52;10:11;VERDADERO
2005-09-09;13:27;13:31;FALSO
2005-09-09;13:57;15:18;FALSO
2005-09-09;15:28;15:31;FALSO
2005-09-09;15:46;15:56;FALSO
2005-09-09;16:19;16:48;FALSO
2005-09-09;16:57;17:06;FALSO
2005-09-09;17:58;17:58;FALSO
2006-12-05;10:23;10:57;VERDADERO
2011-08-09;05:57;05:57;FALSO
2011-08-09;07:59;08:16;VERDADERO
2011-08-09;09:41;09:45;FALSO
2011-09-24;08:52;08:54;FALSO
2011-09-24;09:32;09:54;VERDADERO
2013-10-25;14:56;15:01;VERDADERO
2013-11-06;09:22;09:23;FALSO
2013-11-06;13:51;13:58;VERDADERO
2013-11-19;10:23;10:35;VERDADERO
2014-10-16;09:07;09:08;FALSO
2014-10-16;10:32;10:33;FALSO
2014-10-16;11:16;11:23;FALSO
2014-10-16;11:55;11:59;FALSO
2014-10-16;15:43;15:45;FALSO
2015-03-09;14:39;14:40;VERDADERO
2015-03-09;17:46;17:46;FALSO
2015-03-11;06:26;06:31;FALSO
2015-03-11;08:08;08:18;FALSO
2015-03-11;10:45;10:47;FALSO
2015-03-11;11:11;11:17;FALSO
2015-03-11;12:54;12:59;FALSO
2015-03-11;13:18;13:20;FALSO
2015-03-11;15:18;15:26;FALSO
2015-03-11;16:16;16:21;VERDADERO
2015-06-21;16:41;16:56;FALSO
2017-04-03;14:20;14:38;VERDADERO
2017-04-03;14:53;14:56;FALSO
2017-09-06;08:46;08:46;FALSO
2017-09-06;09:03;09:16;VERDADERO
2017-09-06;10:02;10:03;FALSO
2017-09-06;10:33;10:36;FALSO
2017-09-06;11:52;12:22;VERDADERO
2017-09-06;13:01;13:04;FALSO
2017-09-06;15:08;15:12;FALSO
2017-09-10;15:53;16:07;VERDADERO
