dia;hora inici;hora final;resultat
2001-04-15;08:05;08:10;FALSO
2001-04-15;10:52;10:56;FALSO
2001-04-15;11:07;11:10;FALSO
2001-04-15;12:42;13:08;FALSO
2001-04-15;13:16;13:16;FALSO
2001-04-15;13:40;14:10;VERDADERO
2001-04-15;15:18;15:30;FALSO
2001-04-15;15:58;15:58;FALSO
2001-04-26;07:20;07:23;FALSO
2001-04-26;07:30;07:30;FALSO
2001-04-26;10:52;10:52;FALSO
2001-04-26;12:32;12:35;FALSO
2001-04-26;13:05;13:23;VERDADERO
2001-12-13;14:23;14:41;VERDADERO
2001-12-13;16:15;16:16;FALSO
2004-07-16;10:37;10:42;FALSO
2004-07-16;13:50;14:26;VERDADERO
2004-07-16;15:25;15:29;FALSO
2004-07-16;18:12;18:13;FALSO
2004-07-20;05:33;05:40;FALSO
2004-07-20;05:49;05:56;FALSO
2004-07-20;06:16;06:16;FALSO
2004-07-20;11:14;11:14;FALSO
2004-07-20;12:24;12:32;VERDADERO
2004-07-20;12:43;12:54;FALSO
2004-07-20;14:04;14:04;FALSO
2004-07-20;15:04;15:15;FALSO
2004-07-20;16:17;16:21;FALSO
2004-07-20;18:40;18:42;FALSO
2004-08-14;05:40;05:45;FALSO
2004-08-14;05:53;05:59;FALSO
2004-08-14;06:51;06:54;FALSO
2004-08-14;08:05;08:08;FALSO
2004-08-14;08:29;08:40;FALSO
2004-08-14;09:29;09:49;FALSO
2004-08-14;10:06;10:12;FALSO
2004-08-14;10:25;10:25;FALSO
2004-08-14;11:26;11:48;FALSO
2004-08-14;12:01;12:05;FALSO
2004-08-14;13:38;13:51;VERDADERO
2004-08-14;15:52;15:54;FALSO
2004-08-15;11:28;11:31;FALSO
2004-08-15;12:35;12:47;VERDADERO
2005-05-27;12:24;12:28;VERDADERO
2005-09-09;05:37;05:42;FALSO
2005-09-09;09:52;10:12;VERDADERO
2005-09-09;13:20;13:32;FALSO
2005-09-09;13:57;15:32;FALSO
2005-09-09;15:42;16:02;FALSO
2005-09-09;16:17;17:07;FALSO
2005-09-09;17:57;18:00;FALSO
2006-04-27;15:48;15:59;VERDADERO
2006-12-05;10:23;11:01;VERDADERO
2011-08-09;05:06;05:11;FALSO
2011-08-09;05:57;06:02;FALSO
2011-08-09;06:28;06:28;FALSO
2011-08-09;07:59;08:17;VERDADERO
2011-08-09;09:40;09:45;FALSO
2011-09-24;08:51;08:55;FALSO
2011-09-24;09:32;09:55;VERDADERO
2013-05-13;07:37;07:41;FALSO
2013-05-13;09:45;09:45;FALSO
2013-05-13;16:01;16:02;VERDADERO
2013-10-25;08:00;08:01;VERDADERO
2013-10-25;14:55;15:01;VERDADERO
2013-10-25;15:12;15:14;FALSO
2013-11-06;09:21;09:25;FALSO
2013-11-06;13:43;13:59;VERDADERO
2013-11-19;10:21;10:36;VERDADERO
2014-10-16;09:03;09:08;FALSO
2014-10-16;10:29;10:34;FALSO
2014-10-16;11:16;11:24;FALSO
2014-10-16;11:53;12:01;FALSO
2014-10-16;12:59;13:07;VERDADERO
2014-10-16;15:32;15:46;FALSO
2015-03-09;14:30;14:41;VERDADERO
2015-03-09;17:42;17:47;FALSO
2015-03-11;06:22;06:31;FALSO
2015-03-11;07:14;07:14;FALSO
2015-03-11;08:08;08:19;FALSO
2015-03-11;09:43;09:44;FALSO
2015-03-11;09:56;09:57;FALSO
2015-03-11;10:44;10:48;FALSO
2015-03-11;11:10;11:18;FALSO
2015-03-11;12:51;13:00;FALSO
2015-03-11;13:17;13:24;FALSO
2015-03-11;14:05;14:05;FALSO
2015-03-11;15:17;15:26;FALSO
2015-03-11;15:36;15:36;FALSO
2015-03-11;16:16;16:23;VERDADERO
2015-04-08;16:37;16:39;FALSO
2015-06-21;16:41;16:58;FALSO
2015-06-21;17:08;17:13;FALSO
2015-06-21;17:39;17:40;FALSO
2015-06-21;18:17;18:18;FALSO
2015-06-21;18:29;18:29;FALSO
2015-09-28;14:56;14:56;VERDADERO
2017-04-03;13:33;13:33;FALSO
2017-04-03;14:20;14:39;VERDADERO
2017-04-03;14:49;14:57;FALSO
2017-09-06;08:45;08:47;FALSO
2017-09-06;09:02;09:17;VERDADERO
2017-09-06;10:00;10:06;FALSO
2017-09-06;10:32;10:37;FALSO
2017-09-06;11:48;12:23;VERDADERO
2017-09-06;13:00;13:06;FALSO
2017-09-06;13:43;13:43;FALSO
2017-09-06;15:02;15:15;FALSO
2017-09-10;15:53;16:19;VERDADERO
2017-09-10;16:26;16:26;FALSO
