dia;hora inici;hora final;resultat
2001-04-15;07:22;07:26;FALSO
2001-04-15;08:04;08:11;FALSO
2001-04-15;09:15;09:21;FALSO
2001-04-15;09:45;09:48;FALSO
2001-04-15;09:59;10:00;FALSO
2001-04-15;10:51;10:57;FALSO
2001-04-15;11:05;11:11;FALSO
2001-04-15;12:11;12:11;FALSO
2001-04-15;12:40;13:16;FALSO
2001-04-15;13:40;14:11;VERDADERO
2001-04-15;14:39;14:43;FALSO
2001-04-15;15:17;15:31;FALSO
2001-04-15;15:55;15:59;FALSO
2001-04-15;16:27;16:37;FALSO
2001-04-15;16:58;17:05;FALSO
2001-04-26;05:15;05:15;FALSO
2001-04-26;07:18;07:31;FALSO
2001-04-26;08:01;08:04;FALSO
2001-04-26;09:48;09:48;FALSO
2001-04-26;10:51;10:58;FALSO
2001-04-26;11:36;11:41;FALSO
2001-04-26;12:05;12:05;FALSO
2001-04-26;12:31;12:39;FALSO
2001-04-26;13:04;13:24;VERDADERO
2001-04-26;14:41;14:41;FALSO
2001-04-26;16:35;16:40;FALSO
2001-04-26;17:31;17:31;FALSO
2001-04-26;17:55;17:57;FALSO
2001-04-26;18:13;18:18;FALSO
2001-12-13;14:22;14:43;VERDADERO
2001-12-13;16:14;16:17;FALSO
2004-07-16;08:53;08:56;FALSO
2004-07-16;10:36;10:43;FALSO
2004-07-16;13:49;14:29;VERDADERO
2004-07-16;14:37;14:37;FALSO
2004-07-16;14:49;14:53;FALSO
2004-07-16;15:23;15:31;FALSO
2004-07-16;17:32;17:32;FALSO
2004-07-16;17:42;17:46;FALSO
2004-07-16;18:10;18:17;FALSO
2004-07-20;04:46;04:49;FALSO
2004-07-20;05:09;05:13;FALSO
2004-07-20;05:32;05:57;FALSO
2004-07-20;06:14;06:17;FALSO
2004-07-20;06:42;06:44;FALSO
2004-07-20;08:13;08:15;FALSO
2004-07-20;09:14;09:19;FALSO
2004-07-20;10:51;10:54;FALSO
2004-07-20;11:11;11:17;FALSO
2004-07-20;12:23;12:32;VERDADERO
2004-07-20;12:40;12:57;FALSO
2004-07-20;13:19;13:20;FALSO
2004-07-20;14:01;14:06;FALSO
2004-07-20;15:03;15:16;FALSO
2004-07-20;16:08;16:22;FALSO
2004-07-20;17:55;17:57;FALSO
2004-07-20;18:23;18:23;FALSO
2004-07-20;18:39;18:42;FALSO
2004-07-20;18:50;18:51;FALSO
2004-08-14;05:39;05:59;FALSO
2004-08-14;06:07;06:07;FALSO
2004-08-14;06:50;06:55;FALSO
2004-08-14;07:41;07:43;FALSO
2004-08-14;08:04;08:18;FALSO
2004-08-14;08:28;08:43;FALSO
2004-08-14;08:50;08:55;FALSO
2004-08-14;09:17;09:22;FALSO
2004-08-14;09:29;09:49;FALSO
2004-08-14;09:58;09:58;FALSO
2004-08-14;10:06;10:26;FALSO
2004-08-14;10:34;10:36;FALSO
2004-08-14;11:03;11:12;FALSO
2004-08-14;11:23;11:48;FALSO
2004-08-14;11:59;12:08;FALSO
2004-08-14;13:37;13:51;VERDADERO
2004-08-14;15:49;16:00;FALSO
2004-08-14;16:44;16:47;FALSO
2004-08-15;10:07;10:07;FALSO
2004-08-15;11:27;11:32;FALSO
2004-08-15;12:35;12:54;VERDADERO
2005-05-27;11:52;11:52;FALSO
2005-05-27;12:23;12:29;VERDADERO
2005-09-09;05:35;05:47;FALSO
2005-09-09;09:52;10:15;VERDADERO
2005-09-09;10:37;10:39;FALSO
2005-09-09;12:09;12:10;FALSO
2005-09-09;13:20;13:32;FALSO
2005-09-09;13:57;15:33;FALSO
2005-09-09;15:41;16:04;FALSO
2005-09-09;16:16;17:12;FALSO
2005-09-09;17:20;17:26;FALSO
2005-09-09;17:44;17:45;FALSO
2005-09-09;17:55;18:06;FALSO
2006-04-27;11:51;11:53;FALSO
2006-04-27;15:48;16:02;VERDADERO
2006-04-27;18:03;18:03;FALSO
2006-12-05;10:23;11:02;VERDADERO
2011-08-09;05:10;05:17;FALSO
2011-08-09;05:24;05:24;FALSO
2011-08-09;05:33;05:43;FALSO
2011-08-09;05:57;06:03;FALSO
2011-08-09;06:27;06:43;FALSO
2011-08-09;07:37;07:37;FALSO
2011-08-09;07:59;08:18;VERDADERO
2011-08-09;08:59;08:59;FALSO
2011-08-09;09:39;09:45;FALSO
2011-08-09;10:08;10:09;FALSO
2011-08-09;10:30;10:32;FALSO
2011-08-09;14:58;14:59;FALSO
