dia;hora inici;hora final;resultat
2011-09-08;10:53;10:53;FALSO
2011-09-24;06:11;06:12;FALSO
2011-09-24;08:51;08:56;FALSO
2011-09-24;09:32;09:57;VERDADERO
2011-09-24;12:43;12:52;FALSO
2011-09-24;14:11;14:11;FALSO
2013-05-13;07:36;07:43;FALSO
2013-05-13;08:11;08:13;FALSO
2013-05-13;09:44;09:50;FALSO
2013-05-13;15:59;16:17;VERDADERO
2013-05-13;17:10;17:12;FALSO
2013-10-25;07:58;08:02;VERDADERO
2013-10-25;14:54;15:16;VERDADERO
2013-11-06;09:19;09:26;FALSO
2013-11-06;10:30;10:31;FALSO
2013-11-06;13:41;14:00;VERDADERO
2013-11-06;15:51;16:02;FALSO
2013-11-19;10:19;10:38;VERDADERO
2014-10-16;09:02;09:09;FALSO
2014-10-16;10:06;10:12;FALSO
2014-10-16;10:28;10:34;FALSO
2014-10-16;11:14;11:25;FALSO
2014-10-16;11:52;12:06;FALSO
2014-10-16;12:18;12:21;FALSO
2014-10-16;12:59;13:08;VERDADERO
2014-10-16;15:31;15:49;FALSO
2015-03-09;14:29;14:43;VERDADERO
2015-03-09;17:42;17:47;FALSO
2015-03-11;06:22;06:32;FALSO
2015-03-11;07:11;07:15;FALSO
2015-03-11;07:54;08:22;FALSO
2015-03-11;09:42;09:44;FALSO
2015-03-11;09:54;09:58;FALSO
2015-03-11;10:42;10:49;FALSO
2015-03-11;11:09;11:18;FALSO
2015-03-11;12:49;13:03;FALSO
2015-03-11;13:17;13:25;FALSO
2015-03-11;14:01;14:06;FALSO
2015-03-11;15:16;15:27;FALSO
2015-03-11;15:35;15:39;FALSO
2015-03-11;16:15;16:24;VERDADERO
2015-03-11;17:13;17:14;FALSO
2015-03-11;17:53;17:57;FALSO
2015-04-08;12:08;12:14;FALSO
2015-04-08;14:48;14:51;VERDADERO
2015-04-08;16:34;16:39;FALSO
2015-06-21;09:51;09:51;VERDADERO
2015-06-21;16:41;17:14;FALSO
2015-06-21;17:30;17:43;FALSO
2015-06-21;18:09;18:41;FALSO
2015-06-21;19:28;19:28;FALSO
2015-07-03;15:50;15:55;FALSO
2015-09-28;14:54;15:06;VERDADERO
2017-04-03;10:10;10:15;FALSO
2017-04-03;11:27;11:27;FALSO
2017-04-03;12:17;12:17;FALSO
2017-04-03;13:18;13:19;FALSO
2017-04-03;13:30;13:35;FALSO
2017-04-03;14:19;14:40;VERDADERO
2017-04-03;14:48;14:58;FALSO
2017-04-03;16:19;16:27;FALSO
2017-09-06;06:07;06:08;FALSO
2017-09-06;06:45;06:45;FALSO
2017-09-06;08:13;08:14;FALSO
2017-09-06;08:33;08:34;FALSO
2017-09-06;08:44;08:48;FALSO
2017-09-06;09:01;09:28;VERDADERO
2017-09-06;09:47;09:47;FALSO
2017-09-06;09:59;10:16;FALSO
2017-09-06;10:32;10:38;FALSO
2017-09-06;10:53;11:10;FALSO
2017-09-06;11:17;11:27;FALSO
2017-09-06;11:47;12:24;VERDADERO
2017-09-06;12:58;13:13;FALSO
2017-09-06;13:25;13:25;FALSO
2017-09-06;13:40;13:44;FALSO
2017-09-06;13:54;13:54;FALSO
2017-09-06;14:51;15:16;FALSO
2017-09-06;15:25;15:40;FALSO
2017-09-10;15:52;16:30;VERDADERO
2018-02-07;11:19;11:23;FALSO
