dia;hora inici;hora final;resultat
2001-04-15;08:07;08:07;FALSO
2001-04-15;13:05;13:05;FALSO
2001-04-15;13:42;14:07;VERDADERO
2001-04-15;15:23;15:26;FALSO
2001-04-26;13:06;13:11;VERDADERO
2001-12-13;14:23;14:37;VERDADERO
2004-07-16;13:50;14:03;VERDADERO
2004-07-20;05:37;05:38;FALSO
2004-07-20;05:52;05:53;FALSO
2004-07-20;12:24;12:31;VERDADERO
2004-08-14;05:42;05:42;FALSO
2004-08-14;08:37;08:37;FALSO
2004-08-14;09:42;09:48;FALSO
2004-08-14;10:08;10:10;FALSO
2004-08-14;11:32;11:42;FALSO
2004-08-14;13:39;13:43;VERDADERO
2004-08-15;12:36;12:47;VERDADERO
2005-09-09;09:53;10:08;VERDADERO
2005-09-09;13:28;14:25;FALSO
2005-09-09;14:33;14:47;FALSO
2005-09-09;14:56;15:15;FALSO
2005-09-09;16:30;16:45;FALSO
2005-09-09;17:00;17:02;FALSO
2006-12-05;10:24;10:56;VERDADERO
2011-08-09;07:59;08:15;VERDADERO
2011-09-24;09:36;09:52;VERDADERO
2013-10-25;14:57;15:00;VERDADERO
2013-11-06;13:53;13:56;VERDADERO
2015-03-11;08:17;08:17;FALSO
2015-03-11;16:20;16:20;VERDADERO
2015-06-21;16:41;16:54;FALSO
2017-09-06;09:04;09:07;VERDADERO
2017-09-06;10:34;10:34;FALSO
2017-09-06;11:53;12:19;VERDADERO
2017-09-10;15:54;16:04;VERDADERO
